Year Period,Jurisdiction,Type of case,Number of cases
2019/2020,Yukon,Family cases,1776
2019/2020,Yukon,General civil cases,3296
2019/2020,Yukon,Total cases,5072
2020/2021,Alberta,Family cases,219716
2020/2021,Alberta,General civil cases,471992
2020/2021,Alberta,Total cases,691708
2020/2021,British Columbia,Family cases,185742
2020/2021,British Columbia,General civil cases,494658
2020/2021,British Columbia,Total cases,680400
2020/2021,Canada,Family cases,893654
2020/2021,Canada,General civil cases,1824912
2020/2021,Canada,Total cases,2718566
2020/2021,New Brunswick,Family cases,26322
2020/2021,New Brunswick,General civil cases,37062
2020/2021,New Brunswick,Total cases,63384
2020/2021,Northwest Territories,Family cases,2408
2020/2021,Northwest Territories,General civil cases,3356
2020/2021,Northwest Territories,Total cases,5764
2020/2021,Nova Scotia,Family cases,41274
2020/2021,Nova Scotia,General civil cases,62204
2020/2021,Nova Scotia,Total cases,103478
2020/2021,Nunavut,Family cases,2572
2020/2021,Nunavut,General civil cases,1370
2020/2021,Nunavut,Total cases,3942
2020/2021,Ontario,Family cases,409566
2020/2021,Ontario,General civil cases,741132
2020/2021,Ontario,Total cases,1150698
2020/2021,Prince Edward Island,Family cases,4344
2020/2021,Prince Edward Island,General civil cases,10124
2020/2021,Prince Edward Island,Total cases,14468
2020/2021,Yukon,Family cases,1710
2020/2021,Yukon,General civil cases,3014
2020/2021,Yukon,Total cases,4724
2021/2022,Alberta,Family cases,240050
2021/2022,Alberta,General civil cases,509384
2021/2022,Alberta,Total cases,749434
2021/2022,British Columbia,Family cases,198968
2021/2022,British Columbia,General civil cases,460610
2021/2022,British Columbia,Total cases,659578
2021/2022,Canada,Family cases,1021448
2021/2022,Canada,General civil cases,1978142
2021/2022,Canada,Total cases,2999590
2021/2022,New Brunswick,Family cases,24592
2021/2022,New Brunswick,General civil cases,42810
2021/2022,New Brunswick,Total cases,67402
2021/2022,Northwest Territories,Family cases,2272
2021/2022,Northwest Territories,General civil cases,3118
2021/2022,Northwest Territories,Total cases,5390
2021/2022,Nova Scotia,Family cases,43906
2021/2022,Nova Scotia,General civil cases,72986
2021/2022,Nova Scotia,Total cases,116892
2021/2022,Nunavut,Family cases,2824
2021/2022,Nunavut,General civil cases,1268
2021/2022,Nunavut,Total cases,4092
2021/2022,Ontario,Family cases,502732
2021/2022,Ontario,General civil cases,874454
2021/2022,Ontario,Total cases,1377186
2021/2022,Prince Edward Island,Family cases,4542
2021/2022,Prince Edward Island,General civil cases,10356
2021/2022,Prince Edward Island,Total cases,14898
2021/2022,Yukon,Family cases,1562
2021/2022,Yukon,General civil cases,3156
2021/2022,Yukon,Total cases,4718
